"remotehost","rfc931","authuser","date","request","status","bytes"
"10.0.0.2","-","apache",1549573865,"GET /api/user HTTP/1.0",200,1194
"10.0.0.5","-","apache",1549573867,"POST /api/user HTTP/1.0",200,1261
"10.0.0.1","-","apache",1549573866,"GET /api/help HTTP/1.0",200,1234
"10.0.0.2","-","apache",1549573867,"GET /api/help HTTP/1.0",200,1234
"10.0.0.5","-","apache",1549573865,"GET /api/help HTTP/1.0",200,1234
"10.0.0.3","-","apache",1549573866,"GET /report HTTP/1.0",200,1234
"10.0.0.3","-","apache",1549573866,"POST /report HTTP/1.0",200,1261
"10.0.0.5","-","apache",1549573866,"GET /report HTTP/1.0",404,1234
"10.0.0.3","-","apache",1549573867,"GET /api/user HTTP/1.0",200,1136
"10.0.0.5","-","apache",1549573867,"POST /api/user HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573868,"GET /api/user HTTP/1.0",200,1234
"10.0.0.4","-","apache",1549573867,"GET /api/help HTTP/1.0",200,1234
"10.0.0.5","-","apache",1549573867,"GET /api/help HTTP/1.0",200,1234
"10.0.0.2","-","apache",1549573868,"GET /api/help HTTP/1.0",200,1136
"10.0.0.1","-","apache",1549573868,"GET /report HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573867,"GET /report HTTP/1.0",200,1307
"10.0.0.3","-","apache",1549573867,"GET /report HTTP/1.0",200,1234
"10.0.0.4","-","apache",1549573868,"GET /api/user HTTP/1.0",200,1234
"10.0.0.2","-","apache",1549573869,"GET /api/user HTTP/1.0",200,1136
"10.0.0.1","-","apache",1549573868,"POST /api/user HTTP/1.0",404,1234
"10.0.0.3","-","apache",1549573868,"GET /api/help HTTP/1.0",404,1234
"10.0.0.4","-","apache",1549573869,"POST /api/help HTTP/1.0",200,1234
"10.0.0.3","-","apache",1549573868,"GET /api/help HTTP/1.0",200,1234
"10.0.0.2","-","apache",1549573868,"GET /report HTTP/1.0",200,1234
"10.0.0.2","-","apache",1549573868,"GET /report HTTP/1.0",200,1194
"10.0.0.1","-","apache",1549573869,"POST /report HTTP/1.0",404,1234
"10.0.0.1","-","apache",1549573870,"GET /api/user HTTP/1.0",200,1261
"10.0.0.1","-","apache",1549573869,"GET /api/user HTTP/1.0",200,1234
"10.0.0.5","-","apache",1549573869,"GET /api/user HTTP/1.0",200,1307
"10.0.0.3","-","apache",1549573870,"GET /api/help HTTP/1.0",500,1234
"10.0.0.3","-","apache",1549573870,"POST /api/help HTTP/1.0",200,1234
"10.0.0.3","-","apache",1549573869,"GET /api/help HTTP/1.0",200,1261
"10.0.0.2","-","apache",1549573869,"GET /report HTTP/1.0",200,1234
"10.0.0.4","-","apache",1549573869,"POST /report HTTP/1.0",200,1307
"10.0.0.1","-","apache",1549573869,"GET /report HTTP/1.0",200,1234
"10.0.0.3","-","apache",1549573870,"GET /api/user HTTP/1.0",200,1307
"10.0.0.5","-","apache",1549573870,"GET /api/user HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573870,"GET /api/user HTTP/1.0",200,1307
"10.0.0.3","-","apache",1549573870,"GET /api/help HTTP/1.0",200,1261
"10.0.0.3","-","apache",1549573869,"GET /api/help HTTP/1.0",200,1261
"10.0.0.5","-","apache",1549573869,"GET /api/help HTTP/1.0",200,1234
"10.0.0.4","-","apache",1549573870,"GET /report HTTP/1.0",200,1234
"10.0.0.5","-","apache",1549573869,"GET /report HTTP/1.0",200,1234
"10.0.0.3","-","apache",1549573870,"GET /report HTTP/1.0",200,1307
"10.0.0.5","-","apache",1549573871,"GET /api/user HTTP/1.0",200,1194
"10.0.0.2","-","apache",1549573871,"GET /api/user HTTP/1.0",200,1261
"10.0.0.1","-","apache",1549573871,"GET /api/user HTTP/1.0",200,1307
"10.0.0.5","-","apache",1549573871,"GET /api/help HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573871,"GET /api/help HTTP/1.0",200,1261
"10.0.0.1","-","apache",1549573870,"GET /api/help HTTP/1.0",200,1234
"10.0.0.3","-","apache",1549573872,"POST /report HTTP/1.0",200,1234
"10.0.0.3","-","apache",1549573870,"POST /report HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573872,"GET /report HTTP/1.0",200,1136
"10.0.0.4","-","apache",1549573872,"POST /api/user HTTP/1.0",200,1194
"10.0.0.2","-","apache",1549573873,"GET /api/user HTTP/1.0",200,1234
"10.0.0.2","-","apache",1549573872,"GET /api/user HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573873,"POST /api/help HTTP/1.0",200,1307
"10.0.0.2","-","apache",1549573872,"GET /api/help HTTP/1.0",404,1234
"10.0.0.1","-","apache",1549573873,"GET /api/help HTTP/1.0",500,1307
"10.0.0.4","-","apache",1549573872,"GET /report HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573872,"POST /report HTTP/1.0",200,1136
"10.0.0.5","-","apache",1549573872,"GET /report HTTP/1.0",200,1234
"10.0.0.4","-","apache",1549573873,"GET /api/user HTTP/1.0",500,1194
"10.0.0.2","-","apache",1549573873,"GET /api/user HTTP/1.0",200,1234
"10.0.0.4","-","apache",1549573873,"POST /api/user HTTP/1.0",200,1194
"10.0.0.2","-","apache",1549573873,"GET /api/help HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573873,"GET /api/help HTTP/1.0",200,1261
"10.0.0.5","-","apache",1549573873,"GET /api/help HTTP/1.0",404,1234
"10.0.0.1","-","apache",1549573873,"GET /report HTTP/1.0",404,1194
"10.0.0.3","-","apache",1549573872,"POST /report HTTP/1.0",200,1307
"10.0.0.2","-","apache",1549573872,"GET /report HTTP/1.0",200,1307
"10.0.0.5","-","apache",1549573874,"GET /api/user HTTP/1.0",200,1261
"10.0.0.4","-","apache",1549573874,"GET /api/user HTTP/1.0",200,1307
"10.0.0.1","-","apache",1549573875,"GET /api/user HTTP/1.0",200,1194
"10.0.0.1","-","apache",1549573874,"GET /api/help HTTP/1.0",200,1136
"10.0.0.2","-","apache",1549573874,"GET /api/help HTTP/1.0",200,1261
"10.0.0.1","-","apache",1549573874,"GET /api/help HTTP/1.0",200,1307
"10.0.0.5","-","apache",1549573874,"POST /report HTTP/1.0",200,1261
"10.0.0.2","-","apache",1549573873,"GET /report HTTP/1.0",500,1194
"10.0.0.5","-","apache",1549573874,"POST /report HTTP/1.0",200,1234
"10.0.0.2","-","apache",1549573875,"POST /api/user HTTP/1.0",200,1307
"10.0.0.1","-","apache",1549573875,"GET /api/user HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573875,"GET /api/user HTTP/1.0",200,1194
"10.0.0.1","-","apache",1549573875,"GET /api/help HTTP/1.0",200,1261
"10.0.0.3","-","apache",1549573874,"GET /api/help HTTP/1.0",200,1261
"10.0.0.3","-","apache",1549573874,"POST /api/help HTTP/1.0",200,1307
"10.0.0.5","-","apache",1549573875,"GET /report HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573876,"GET /report HTTP/1.0",404,1136
"10.0.0.3","-","apache",1549573875,"GET /report HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573877,"GET /api/user HTTP/1.0",200,1261
"10.0.0.5","-","apache",1549573877,"GET /api/user HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573875,"GET /api/user HTTP/1.0",404,1234
"10.0.0.5","-","apache",1549573876,"GET /api/help HTTP/1.0",200,1234
"10.0.0.2","-","apache",1549573876,"POST /api/help HTTP/1.0",500,1194
"10.0.0.1","-","apache",1549573876,"POST /api/help HTTP/1.0",200,1194
"10.0.0.1","-","apache",1549573876,"GET /report HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573876,"POST /report HTTP/1.0",500,1234
"10.0.0.2","-","apache",1549573876,"GET /report HTTP/1.0",404,1194
"10.0.0.1","-","apache",1549573877,"GET /api/user HTTP/1.0",200,1261
"10.0.0.1","-","apache",1549573876,"POST /api/user HTTP/1.0",200,1307
"10.0.0.1","-","apache",1549573877,"GET /api/user HTTP/1.0",404,1234
"10.0.0.1","-","apache",1549573877,"GET /api/help HTTP/1.0",200,1234
"10.0.0.3","-","apache",1549573878,"GET /api/help HTTP/1.0",200,1136
"10.0.0.1","-","apache",1549573877,"GET /api/help HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573878,"GET /report HTTP/1.0",200,1261
"10.0.0.1","-","apache",1549573876,"GET /report HTTP/1.0",200,1261
"10.0.0.1","-","apache",1549573877,"GET /report HTTP/1.0",200,1234
"10.0.0.5","-","apache",1549573878,"GET /api/user HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573879,"GET /api/user HTTP/1.0",200,1194
"10.0.0.1","-","apache",1549573878,"GET /api/user HTTP/1.0",200,1261
"10.0.0.1","-","apache",1549573879,"GET /api/help HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573877,"GET /api/help HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573877,"GET /api/help HTTP/1.0",200,1136
"10.0.0.1","-","apache",1549573878,"GET /report HTTP/1.0",200,1234
"10.0.0.5","-","apache",1549573878,"GET /report HTTP/1.0",200,1307
"10.0.0.1","-","apache",1549573878,"POST /report HTTP/1.0",200,1136
"10.0.0.5","-","apache",1549573878,"GET /api/user HTTP/1.0",200,1234
"10.0.0.2","-","apache",1549573880,"GET /api/user HTTP/1.0",200,1234
"10.0.0.4","-","apache",1549573880,"GET /api/user HTTP/1.0",200,1307
"10.0.0.2","-","apache",1549573878,"GET /api/help HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573879,"GET /api/help HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573879,"GET /api/help HTTP/1.0",200,1307
"10.0.0.2","-","apache",1549573879,"GET /report HTTP/1.0",500,1234
"10.0.0.2","-","apache",1549573880,"GET /report HTTP/1.0",200,1136
"10.0.0.5","-","apache",1549573879,"GET /report HTTP/1.0",200,1234
"10.0.0.5","-","apache",1549573881,"GET /api/user HTTP/1.0",200,1136
"10.0.0.1","-","apache",1549573880,"GET /api/user HTTP/1.0",200,1136
"10.0.0.1","-","apache",1549573880,"GET /api/user HTTP/1.0",200,1234
"10.0.0.2","-","apache",1549573881,"GET /api/help HTTP/1.0",200,1136
"10.0.0.5","-","apache",1549573880,"GET /api/help HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573880,"GET /api/help HTTP/1.0",200,1307
"10.0.0.1","-","apache",1549573880,"GET /report HTTP/1.0",200,1194
"10.0.0.5","-","apache",1549573880,"GET /report HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573881,"POST /report HTTP/1.0",404,1136
"10.0.0.3","-","apache",1549573881,"GET /api/user HTTP/1.0",200,1234
"10.0.0.2","-","apache",1549573882,"GET /api/user HTTP/1.0",200,1234
"10.0.0.1","-","apache",1549573881,"GET /api/user HTTP/1.0",404,1194
"10.0.0.1","-","apache",1549573881,"GET /api/help HTTP/1.0",200,1234
"10.0.0.5","-","apache",1549573881,"GET /api/help HTTP/1.0",500,1234
"10.0.0.5","-","apache",1549573881,"GET /api/help HTTP/1.0",200,1307
"10.0.0.3","-","apache",1549573881,"GET / HTTP/1.0",200,1307
